country,name,"countryname"
http://dbpedia.org/resource/Afghanistan,Kabul,"Afghanistan"
http://dbpedia.org/resource/Albania,Durrës,"Albania"
http://dbpedia.org/resource/Albania,Tirana,"Albania"
http://dbpedia.org/resource/Algeria,Aïn Oussera,"Algeria"
http://dbpedia.org/resource/Algeria,Algiers,"Algeria"
http://dbpedia.org/resource/Algeria,Annaba,"Algeria"
http://dbpedia.org/resource/Algeria,Béchar,"Algeria"
http://dbpedia.org/resource/Algeria,Béjaïa,"Algeria"
http://dbpedia.org/resource/Algeria,Biskra,"Algeria"
http://dbpedia.org/resource/Algeria,Bordj El Kiffan,"Algeria"
http://dbpedia.org/resource/Algeria,Chlef,"Algeria"
http://dbpedia.org/resource/Algeria,"Constantine, Algeria","Algeria"
http://dbpedia.org/resource/Algeria,Ghardaïa,"Algeria"
http://dbpedia.org/resource/Algeria,Guelma,"Algeria"
http://dbpedia.org/resource/Algeria,Mostaganem,"Algeria"
http://dbpedia.org/resource/Algeria,M'Sila,"Algeria"
http://dbpedia.org/resource/Algeria,Oran,"Algeria"
http://dbpedia.org/resource/Algeria,Ouargla,"Algeria"
http://dbpedia.org/resource/Algeria,Skikda,"Algeria"
http://dbpedia.org/resource/Algeria,Souk Ahras,"Algeria"
http://dbpedia.org/resource/Algeria,Tébessa,"Algeria"
http://dbpedia.org/resource/Algeria,Tiaret,"Algeria"
http://dbpedia.org/resource/Algeria,Tlemcen,"Algeria"
http://dbpedia.org/resource/Algeria,Touggourt,"Algeria"
http://dbpedia.org/resource/Andorra,Andorra la Vella,"Andorra"
http://dbpedia.org/resource/Angola,Luanda,"Angola"
http://dbpedia.org/resource/Argentina,Avellaneda,"Argentina"
http://dbpedia.org/resource/Argentina,Buenos Aires,"Argentina"
http://dbpedia.org/resource/Argentina,Corrientes,"Argentina"
http://dbpedia.org/resource/Argentina,Lanús,"Argentina"
http://dbpedia.org/resource/Argentina,Lomas de Zamora,"Argentina"
http://dbpedia.org/resource/Argentina,Plottier,"Argentina"
http://dbpedia.org/resource/Argentina,Quilmes,"Argentina"
http://dbpedia.org/resource/Argentina,"Rosario, Santa Fe","Argentina"
http://dbpedia.org/resource/Argentina,Salta,"Argentina"
http://dbpedia.org/resource/Argentina,San Miguel de Tucumán,"Argentina"
http://dbpedia.org/resource/Argentina,Vicente López,"Argentina"
http://dbpedia.org/resource/Australia,Adelaide,"Australia"
http://dbpedia.org/resource/Australia,Brisbane,"Australia"
http://dbpedia.org/resource/Australia,Cairns,"Australia"
http://dbpedia.org/resource/Australia,Caloundra,"Australia"
http://dbpedia.org/resource/Australia,Canberra,"Australia"
http://dbpedia.org/resource/Australia,Geelong,"Australia"
http://dbpedia.org/resource/Australia,Hobart,"Australia"
http://dbpedia.org/resource/Australia,"Kingston, Norfolk Island","Australia"
http://dbpedia.org/resource/Australia,Melbourne,"Australia"
http://dbpedia.org/resource/Australia,Perth,"Australia"
http://dbpedia.org/resource/Australia,Sydney,"Australia"
http://dbpedia.org/resource/Australia,Toowoomba,"Australia"
http://dbpedia.org/resource/Australia,Townsville,"Australia"
http://dbpedia.org/resource/Australia,Wollongong,"Australia"
http://dbpedia.org/resource/Austria,Bregenz,"Austria"
http://dbpedia.org/resource/Austria,Eisenstadt,"Austria"
http://dbpedia.org/resource/Austria,Graz,"Austria"
http://dbpedia.org/resource/Austria,Innsbruck,"Austria"
http://dbpedia.org/resource/Austria,Klagenfurt,"Austria"
http://dbpedia.org/resource/Austria,Linz,"Austria"
http://dbpedia.org/resource/Austria,Salzburg,"Austria"
http://dbpedia.org/resource/Austria,Sankt Pölten,"Austria"
http://dbpedia.org/resource/Austria,Vienna,"Austria"
http://dbpedia.org/resource/Azerbaijan,Baku,"Azerbaijan"
http://dbpedia.org/resource/Azerbaijan,Sumqayit,"Azerbaijan"
http://dbpedia.org/resource/Bahrain,Manama,"Bahrain"
http://dbpedia.org/resource/Bangladesh,Barisal,"Bangladesh"
http://dbpedia.org/resource/Bangladesh,Bogra,"Bangladesh"
http://dbpedia.org/resource/Bangladesh,Chittagong,"Bangladesh"
http://dbpedia.org/resource/Bangladesh,Comilla,"Bangladesh"
http://dbpedia.org/resource/Bangladesh,Dhaka,"Bangladesh"
http://dbpedia.org/resource/Bangladesh,Khulna,"Bangladesh"
http://dbpedia.org/resource/Bangladesh,Mymensingh,"Bangladesh"
http://dbpedia.org/resource/Bangladesh,Narayanganj,"Bangladesh"
http://dbpedia.org/resource/Bangladesh,Pabna,"Bangladesh"
http://dbpedia.org/resource/Bangladesh,Rajshahi,"Bangladesh"
http://dbpedia.org/resource/Bangladesh,Sirajganj,"Bangladesh"
http://dbpedia.org/resource/Bangladesh,Tangail,"Bangladesh"
http://dbpedia.org/resource/Barbados,Bridgetown,"Barbados"
http://dbpedia.org/resource/Belarus,Babruysk,"Belarus"
http://dbpedia.org/resource/Belarus,Baranovichi,"Belarus"
http://dbpedia.org/resource/Belarus,Gomel,"Belarus"
http://dbpedia.org/resource/Belarus,Mazyr,"Belarus"
http://dbpedia.org/resource/Belarus,Minsk,"Belarus"
http://dbpedia.org/resource/Belarus,Navapolatsk,"Belarus"
http://dbpedia.org/resource/Belarus,Pinsk,"Belarus"
http://dbpedia.org/resource/Belarus,Vitebsk,"Belarus"
http://dbpedia.org/resource/Belgium,Anderlecht,"Belgium"
http://dbpedia.org/resource/Belgium,Antwerp,"Belgium"
http://dbpedia.org/resource/Belgium,Bruges,"Belgium"
http://dbpedia.org/resource/Belgium,Brussels,"Belgium"
http://dbpedia.org/resource/Belgium,Charleroi,"Belgium"
http://dbpedia.org/resource/Belgium,Ghent,"Belgium"
http://dbpedia.org/resource/Belgium,Kortrijk,"Belgium"
http://dbpedia.org/resource/Belgium,Leuven,"Belgium"
http://dbpedia.org/resource/Belgium,Liège,"Belgium"
http://dbpedia.org/resource/Belgium,Mons,"Belgium"
http://dbpedia.org/resource/Belgium,"Namur, Belgium","Belgium"
http://dbpedia.org/resource/Belgium,Ostend,"Belgium"
http://dbpedia.org/resource/Belgium,Schaerbeek,"Belgium"
http://dbpedia.org/resource/Belize,Belmopan,"Belize"
http://dbpedia.org/resource/Benin,Porto-Novo,"Benin"
http://dbpedia.org/resource/Berkshire,Bracknell,"Berkshire"
http://dbpedia.org/resource/Bhutan,Thimphu,"Bhutan"
http://dbpedia.org/resource/Bolivia,Cochabamba,"Bolivia"
http://dbpedia.org/resource/Bolivia,La Paz,"Bolivia"
http://dbpedia.org/resource/Bolivia,Potosí,"Bolivia"
http://dbpedia.org/resource/Bolivia,Santa Cruz de la Sierra,"Bolivia"
http://dbpedia.org/resource/Bolivia,Sucre,"Bolivia"
http://dbpedia.org/resource/Bolivia,Tarija,"Bolivia"
http://dbpedia.org/resource/Bosnia_and_Herzegovina,Banja Luka,"Bosnia and Herzegovina"
http://dbpedia.org/resource/Bosnia_and_Herzegovina,Doboj,"Bosnia and Herzegovina"
http://dbpedia.org/resource/Bosnia_and_Herzegovina,Mostar,"Bosnia and Herzegovina"
http://dbpedia.org/resource/Bosnia_and_Herzegovina,Prijedor,"Bosnia and Herzegovina"
http://dbpedia.org/resource/Bosnia_and_Herzegovina,Sarajevo,"Bosnia and Herzegovina"
http://dbpedia.org/resource/Bosnia_and_Herzegovina,Tuzla,"Bosnia and Herzegovina"
http://dbpedia.org/resource/Bosnia_and_Herzegovina,Zenica,"Bosnia and Herzegovina"
http://dbpedia.org/resource/Botswana,Francistown,"Botswana"
http://dbpedia.org/resource/Botswana,Gaborone,"Botswana"
http://dbpedia.org/resource/Brazil,Águas Lindas de Goiás,"Brazil"
http://dbpedia.org/resource/Brazil,Alagoinhas,"Brazil"
http://dbpedia.org/resource/Brazil,Almirante Tamandaré,"Brazil"
http://dbpedia.org/resource/Brazil,Alvorada,"Brazil"
http://dbpedia.org/resource/Brazil,"Ananindeua, Pará","Brazil"
http://dbpedia.org/resource/Brazil,Anápolis,"Brazil"
http://dbpedia.org/resource/Brazil,Angra dos Reis,"Brazil"
http://dbpedia.org/resource/Brazil,Aparecida de Goiânia,"Brazil"
http://dbpedia.org/resource/Brazil,Apucarana,"Brazil"
http://dbpedia.org/resource/Brazil,Aracaju,"Brazil"
http://dbpedia.org/resource/Brazil,Araçatuba,"Brazil"
http://dbpedia.org/resource/Brazil,Araguaína,"Brazil"
http://dbpedia.org/resource/Brazil,Arapiraca,"Brazil"
http://dbpedia.org/resource/Brazil,Araraquara,"Brazil"
http://dbpedia.org/resource/Brazil,Araras,"Brazil"
http://dbpedia.org/resource/Brazil,Araucária,"Brazil"
http://dbpedia.org/resource/Brazil,Atibaia,"Brazil"
http://dbpedia.org/resource/Brazil,Bagé,"Brazil"
http://dbpedia.org/resource/Brazil,Balneário Camboriú,"Brazil"
http://dbpedia.org/resource/Brazil,Barbacena,"Brazil"
http://dbpedia.org/resource/Brazil,Barra Mansa,"Brazil"
http://dbpedia.org/resource/Brazil,Barreiras,"Brazil"
http://dbpedia.org/resource/Brazil,Barretos,"Brazil"
http://dbpedia.org/resource/Brazil,Barueri,"Brazil"
http://dbpedia.org/resource/Brazil,Bauru,"Brazil"
http://dbpedia.org/resource/Brazil,Belém,"Brazil"
http://dbpedia.org/resource/Brazil,Belo Horizonte,"Brazil"
http://dbpedia.org/resource/Brazil,Betim,"Brazil"
http://dbpedia.org/resource/Brazil,Birigüi,"Brazil"
http://dbpedia.org/resource/Brazil,Bragança Paulista,"Brazil"
http://dbpedia.org/resource/Brazil,Brasília,"Brazil"
http://dbpedia.org/resource/Brazil,Cachoeirinha,"Brazil"
http://dbpedia.org/resource/Brazil,Cachoeiro de Itapemirim,"Brazil"
http://dbpedia.org/resource/Brazil,Cametá,"Brazil"
http://dbpedia.org/resource/Brazil,Campinas,"Brazil"
http://dbpedia.org/resource/Brazil,Campo Grande,"Brazil"
http://dbpedia.org/resource/Brazil,Canoas,"Brazil"
http://dbpedia.org/resource/Brazil,Caraguatatuba,"Brazil"
http://dbpedia.org/resource/Brazil,Caruaru,"Brazil"
http://dbpedia.org/resource/Brazil,Cascavel,"Brazil"
http://dbpedia.org/resource/Brazil,"Castanhal, Pará","Brazil"
http://dbpedia.org/resource/Brazil,Catanduva,"Brazil"
http://dbpedia.org/resource/Brazil,Caucaia,"Brazil"
http://dbpedia.org/resource/Brazil,Caxias do Sul,"Brazil"
http://dbpedia.org/resource/Brazil,Chapecó,"Brazil"
http://dbpedia.org/resource/Brazil,Contagem,"Brazil"
http://dbpedia.org/resource/Brazil,Coronel Fabriciano,"Brazil"
http://dbpedia.org/resource/Brazil,Corumbá,"Brazil"
http://dbpedia.org/resource/Brazil,Cotia,"Brazil"
http://dbpedia.org/resource/Brazil,Criciúma,"Brazil"
http://dbpedia.org/resource/Brazil,Cubatão,"Brazil"
http://dbpedia.org/resource/Brazil,Cuiabá,"Brazil"
http://dbpedia.org/resource/Brazil,Curitiba,"Brazil"
http://dbpedia.org/resource/Brazil,Divinópolis,"Brazil"
http://dbpedia.org/resource/Brazil,Dourados,"Brazil"
http://dbpedia.org/resource/Brazil,Duque de Caxias,"Brazil"
http://dbpedia.org/resource/Brazil,Embu das Artes,"Brazil"
http://dbpedia.org/resource/Brazil,Feira de Santana,"Brazil"
http://dbpedia.org/resource/Brazil,Florianópolis,"Brazil"
http://dbpedia.org/resource/Brazil,Fortaleza,"Brazil"
http://dbpedia.org/resource/Brazil,Franca,"Brazil"
http://dbpedia.org/resource/Brazil,Goiânia,"Brazil"
http://dbpedia.org/resource/Brazil,Governador Valadares,"Brazil"
http://dbpedia.org/resource/Brazil,Gravataí,"Brazil"
